id,street,city,zip
01000028,706 Trail 2,Burlington,27215
01000050,2202 Sterling Ct,Burlington,27215
01000176,509 S Sellars Mill Rd,Burlington,27217
01000289,3626 Boywood Rd,Graham,27253
01000333,2409 Hyde St,Burlington,27217
01000403,1458 Knollwood Drive,Burlington,27217
01000436,1875 North Hwy 62,Burlington,27217
01000439,806 North Avenue,Burlington,27217
01000463,309 Peele Street,Burlington,27215
01000508,4173 L Lawrence Trail,Graham,27253
01000552,518 Hatch Street,Burlington,27217
01000570,1336 St Marks Church Rd,Burlington,27215
01000575,1626 North Nc Hwy 49,Burlington,27217
01000594,2824 Blanche Drive,Burlington,27215
01000628,3010 Perrin Drive,Haw River,27258
01000636,968 West Old Glencoe Road,Burlington,27217
01000044,3750 Alamance Road,Burlington,27215
01000109,721 N  Fisher St,Burlington,27217
01000136,810 N  Main St,Graham,27253
01000203,823 Lakeside Ave,Burlington,27217
01000214,620 Ray Street,Graham,27253
01000216,808 Oakley St,Graham,27253
01000231,639 South Eighth St,Mebane,27302
01000244,827 S Sellers Mill Rd,Burlington,27217
01000253,3216 Nc Hwy 54 East,Graham,27253
01000260,421 Fulton Street,Burlington,27217
01000281,145 Huffine Street,Gibsonville,27249
01000282,2443 Michelle Dr,Burlington,27217
01000313,615 Gunn St,Burlington,27217
01000324,981 Kirkpatrick Rd,Burlington,27215
01000362,421 Alamance Rd,Burlington,27215
01000401,603 North Graham Hopedale Road,Burlington,27217
01000412,2347 S Hwy 119,Mebane,27302
01000416,612 E Elm Street,Graham,27253
01000426,2847 Pleasant Grove School Rd,Burlington,27217
01000427,301 N Charles Street,Mebane,27302
01000429,2518 Nc 54,Graham,27253
01000430,320 Ivey Road,Graham,27253
01000432,316 Carden Street,Burlington,27215
01000433,141 Trail One,Burlington,27215
01000434,1714 West Davis Street,Burlington,27215
01000441,919 Stokes Street,Burlington,27215
01000449,2235 Delany Drive,Burlington,27215
01000472,2206 Swepsonville Road,Graham,27253
01000474,2257 Nc 87s,Graham,27253
01000501,2485 Moran St,Burlington,27215
01000505,202 Giles St,Mebane,27302
01000524,701 E Main St,Haw River,27258
01000538,229 N Graham-Hopedale Rd,Burlington,27217
01000549,7718 Sylvan School Rd,Snow Camp,27349
01000550,807 E Main St,Haw River,27258
01000559,1025 Trollinger Rd,Graham,27253
01000560,502 N Graham Hopedale Rd,Burlington,27217
01000561,2630 Buckingham Rd,Burlington,27217
01000564,1139 Chapel Hill Rd,Burlington,27215
01000568,4811 Pagetown Rd,Burlington,27217
01000573,827 S Graham-Hopedale Rd,Burlington,27217
01000585,5624 Church Road,Graham,27253
01000588,3224 Old Hillsborough Rd,Mebane,27302
01000590,906 East Main Street,Haw River,27258
01000604,825 Apple St,Burlington,27217
01000605,718 E Main St,Haw River,27258
01000607,1315 Plaza Dr,Burlington,27217
01000614,200 S Fourth St  Suite B,Mebane,27302
01000616,601 W Elm St,Graham,27302
01000622,100 E Hanover Road,Graham,27253
01000623,106 Albany Street,Graham,27253
01000624,1100 Riverbend Rd,Graham,27253
01000625,1010 Williamson Ave,Elon,27244
01000626,1824 East Webb Avenue,Burlington,27215
01000629,302 Trail Four,Burlington,27215
01000631,947 South Fifth Street,Mebane,27302
01000635,3804 Bonnar Bridge Parkway,Burlington,27215
0153874,508 W  Davis Street,Burlington,27215
0155013,1247 Jimmie Kerr Road,Graham,27253
0155018,601 E Main Street,Haw River,27258
0155041,400  South Broad St,Burlington,27215
0155112,714 Sharpe Road,Burlington,27217
0155113,2115 S  Nc 119,Mebane,27302
0159001,3445 Altamahaw Church Street,Elon,27244
0159003,303 W Elm Street,Graham,27253
0159005,2224 Anthony Rd,Burlington,27215
0159010,1336 Townbranch Road,Graham,27253
02000018,224 Dejarnette Lane,Stony Point,28678
02000094,503 Liberty Ln,Taylorsville,28681
02000017,531 Stony Point School Road,Stony Point,28678
02000035,135 One Comfortable Place,Taylorsville,28681
02000056,130 Millersville Rd,Taylorsville,28681
02000080,175 Ellendale Park Lane,Taylorsville,28681
02000085,7300 Church Road,Taylorsville,28631
02000089,311 Stony Point School Road,Stony Point,28678
02000090,374 Sulfur Springs Road,Hiddenite,28636
02000091,7900 Nc Highway 127,Taylorsville,28681
02000092,100 7th Street Sw,Taylorsville,28681
02000095,191 Ervin Street,Hiddenite,28636
02000104,401 East Main Street,Taylorsville,28681
02000107,311 Stony Point School Road,Stony Point,28678
02000108,7300 Church Road,Taylorsville,28681
02000109,1591 Hwy 90 W,Taylorsville,28681
02000110,9042 Nc Hwy 127 North,Hickory,28601
02000111,374 Sulphur Springs Road,Hiddenite,28636
02000112,7900 Nc Hwy 127,Taylorsville,28681
02000115,850 Antioch Church Road,Taylorsville,28681
