id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
01000009,ALAMANCE,HOMES,1-STAR,1,1,0,2,0,3,1,1,8,8,8,Independent Family,Y,1,february,2008
01000009,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000009,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000028,ALAMANCE,HOMES,1-STAR,1,1,1,3,2,0,0,2,9,8,8,Independent Family,Y,2,february,2008
01000028,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,february,2008
01000028,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,2,february,2008
01000047,ALAMANCE,HOMES,3-STAR,1,0,0,0,1,0,0,3,4,8,8,Independent Family,Y,1,february,2008
01000047,ALAMANCE,HOMES,3-STAR,2,0,0,1,1,1,0,1,4,8,8,Independent Family,Y,1,february,2008
01000047,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000050,ALAMANCE,HOMES,1-STAR,1,0,2,0,2,0,1,3,8,8,8,Independent Family,N,1,february,2008
01000050,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,february,2008
01000050,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,february,2008
01000127,ALAMANCE,HOMES,3-STAR,1,1,0,0,0,0,0,0,1,8,8,Independent Family,Y,1,february,2008
01000127,ALAMANCE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000127,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000152,ALAMANCE,HOMES,2-STAR,1,2,2,0,0,1,0,0,5,8,8,Independent Family,Y,1,february,2008
01000152,ALAMANCE,HOMES,2-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,february,2008
01000152,ALAMANCE,HOMES,2-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000176,ALAMANCE,HOMES,4-STAR,1,0,0,1,2,1,1,3,8,8,8,Independent Family,Y,1,february,2008
01000176,ALAMANCE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000176,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000234,ALAMANCE,HOMES,3-STAR,1,0,1,2,1,2,0,0,6,5,5,Y,Y,1,february,2008
01000234,ALAMANCE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Y,Y,1,february,2008
01000234,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,5,5,Y,Y,1,february,2008
01000254,ALAMANCE,HOMES,4-STAR,1,1,2,0,0,2,0,1,6,5,5,Independent Family,Y,1,february,2008
01000254,ALAMANCE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent Family,Y,1,february,2008
01000254,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000258,ALAMANCE,HOMES,3-STAR,1,0,4,0,0,0,0,1,5,8,8,Independent Family,Y,1,february,2008
01000258,ALAMANCE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000258,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
01000270,ALAMANCE,HOMES,1-STAR,1,1,1,1,0,0,0,0,3,5,5,Independent Family,Y,1,february,2008
01000270,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,5,5,Independent Family,Y,1,february,2008
01000270,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,february,2008
