id,county,type,star,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
01000028,ALAMANCE,HOMES,1-STAR,1,1,0,0,1,3,0,2,7,8,8,Independent Family,N,1,november,2016
01000028,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,november,2016
01000028,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,november,2016
01000050,ALAMANCE,HOMES,1-STAR,1,0,1,3,1,0,0,0,5,8,8,Independent Family,N,1,november,2016
01000050,ALAMANCE,HOMES,1-STAR,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,november,2016
01000050,ALAMANCE,HOMES,1-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,november,2016
01000176,ALAMANCE,HOMES,4-STAR,1,0,0,4,1,0,0,2,7,8,8,Independent Family,Y,1,november,2016
01000176,ALAMANCE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,november,2016
01000176,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,november,2016
01000289,ALAMANCE,HOMES,3-STAR,1,1,0,3,0,1,0,2,7,8,8,Independent Family,Y,1,november,2016
01000289,ALAMANCE,HOMES,3-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,november,2016
01000289,ALAMANCE,HOMES,3-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,november,2016
01000333,ALAMANCE,HOMES,4-STAR,1,0,1,0,0,0,1,0,2,8,8,Independent Family,Y,1,november,2016
01000333,ALAMANCE,HOMES,4-STAR,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,november,2016
01000333,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,november,2016
01000403,ALAMANCE,HOMES,4-STAR,1,0,2,0,2,0,0,0,4,5,5,Independent Family,Y,1,november,2016
01000403,ALAMANCE,HOMES,4-STAR,2,0,1,0,0,0,0,0,1,5,5,Independent Family,Y,1,november,2016
01000403,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,november,2016
01000425,ALAMANCE,HOMES,4-STAR,1,0,0,2,2,1,0,3,8,8,8,Independent Family,Y,2,november,2016
01000425,ALAMANCE,HOMES,4-STAR,2,0,0,0,0,0,0,3,3,8,8,Independent Family,Y,2,november,2016
01000425,ALAMANCE,HOMES,4-STAR,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,2,november,2016
