id,county,name,type,star,ind_month,shift,num_infant,num_one,num_two,num_three,num_four,num_five,num_twelve,num_total,children_lic,children_max,cat_op,scc,employees,month,year
01000028,ALAMANCE,PATRICIA FILYAW DAY CARE,HOMES,1-STAR,  4,1,1,2,0,0,1,1,2,7,8,8,Independent Family,N,1,december,2017
01000028,ALAMANCE,PATRICIA FILYAW DAY CARE,HOMES,1-STAR,  4,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2017
01000028,ALAMANCE,PATRICIA FILYAW DAY CARE,HOMES,1-STAR,  4,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2017
01000050,ALAMANCE,JEANETTE BEAUDET DAY CARE,HOMES,1-STAR,  1,1,1,0,1,2,1,0,1,6,8,8,Independent Family,N,1,december,2017
01000050,ALAMANCE,JEANETTE BEAUDET DAY CARE,HOMES,1-STAR,  1,2,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2017
01000050,ALAMANCE,JEANETTE BEAUDET DAY CARE,HOMES,1-STAR,  1,3,0,0,0,0,0,0,0,0,0,0,Independent Family,N,1,december,2017
01000176,ALAMANCE,PRECIOUS GIFT,HOMES,4-STAR,  8,1,0,0,0,4,1,0,2,7,8,8,Independent Family,Y,1,december,2017
01000176,ALAMANCE,PRECIOUS GIFT,HOMES,4-STAR,  8,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2017
01000176,ALAMANCE,PRECIOUS GIFT,HOMES,4-STAR,  8,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,december,2017
01000289,ALAMANCE,JANE,HOMES,3-STAR,  8,1,2,1,0,1,0,0,0,4,8,8,Independent Family,Y,1,december,2017
01000289,ALAMANCE,JANE,HOMES,3-STAR,  8,2,0,0,0,0,0,0,0,0,8,0,Independent Family,Y,1,december,2017
01000289,ALAMANCE,JANE,HOMES,3-STAR,  8,3,0,0,0,0,0,0,0,0,8,0,Independent Family,Y,1,december,2017
01000333,ALAMANCE,MICKEY,HOMES,4-STAR,  1,1,0,0,1,0,0,0,1,2,8,8,Independent Family,Y,1,december,2017
01000333,ALAMANCE,MICKEY,HOMES,4-STAR,  1,2,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2017
01000333,ALAMANCE,MICKEY,HOMES,4-STAR,  1,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,december,2017
01000403,ALAMANCE,SHELBY,HOMES,4-STAR,  4,1,0,2,1,0,0,1,0,4,5,5,Independent Family,Y,1,december,2017
01000403,ALAMANCE,SHELBY,HOMES,4-STAR,  4,2,0,1,0,0,1,0,0,2,5,5,Independent Family,Y,1,december,2017
01000403,ALAMANCE,SHELBY,HOMES,4-STAR,  4,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,december,2017
01000436,ALAMANCE,ANNIE,HOMES,4-STAR,  10,1,0,2,1,2,0,0,1,6,8,8,Independent Family,Y,1,december,2017
01000436,ALAMANCE,ANNIE,HOMES,4-STAR,  10,2,0,1,1,2,0,0,1,5,8,8,Independent Family,Y,1,december,2017
01000436,ALAMANCE,ANNIE,HOMES,4-STAR,  10,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2017
01000439,ALAMANCE,LOVING MEMORIES DAYCARE,HOMES,3-STAR,  10,1,0,1,1,1,0,0,0,3,8,8,Independent Family,Y,1,december,2017
01000439,ALAMANCE,LOVING MEMORIES DAYCARE,HOMES,3-STAR,  10,2,0,0,0,1,1,0,1,3,8,8,Independent Family,Y,1,december,2017
01000439,ALAMANCE,LOVING MEMORIES DAYCARE,HOMES,3-STAR,  10,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2017
01000463,ALAMANCE,PRECIOUS LIL TOTS DAYCARE,HOMES,4-STAR,  8,1,0,1,1,1,1,1,2,7,8,8,Independent Family,Y,1,december,2017
01000463,ALAMANCE,PRECIOUS LIL TOTS DAYCARE,HOMES,4-STAR,  8,2,0,0,0,0,0,1,0,1,8,8,Independent Family,Y,1,december,2017
01000463,ALAMANCE,PRECIOUS LIL TOTS DAYCARE,HOMES,4-STAR,  8,3,0,0,0,0,0,0,0,0,8,8,Independent Family,Y,1,december,2017
01000508,ALAMANCE,JUST LIKE HOME,HOMES,3-STAR,  2,1,0,2,1,1,0,0,4,8,8,8,Independent Family,Y,1,december,2017
01000508,ALAMANCE,JUST LIKE HOME,HOMES,3-STAR,  2,2,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,december,2017
01000508,ALAMANCE,JUST LIKE HOME,HOMES,3-STAR,  2,3,0,0,0,0,0,0,0,0,0,0,Independent Family,Y,1,december,2017
01000552,ALAMANCE,A MOTHER,HOMES,3-STAR,  8,1,0,1,0,1,4,0,7,13,8,8,Independent Family,Y,1,december,2017
