id,name,street,city,zip
34000058,Love ­N­care Day Care Home,2914 Poinsetta Dr,Winston-Salem,27107
34000254,Cuddle Bugs Day Care,5886 Sullivantown Rd,Walkertown,27051
34000263,Kelly's Day Care,1800 Brewer Road,Winston-Salem,27127
34000264,Eloise Rowe's Day Care Home,1617 Bridlington Rd,Kernersville,27284
34000344,Little Angels Child Care,1219 E 23rd St,Winston-Salem,27105
34000416,Glo'z Kidz Day And Night Care,3021 Teresa Ave,Winston-Salem,27105
34000495,Miss Dee's Day Care Home,1375 Reynolds Forest Drive,Winston-Salem,27107
34000497,Grant's Day Care,4848 Thornbrook Ln,Winston-Salem,27105
34000504,Kiddie Luv Child Care Center,4521 Lasley Dr,Winston-Salem,27105
34000513,Children Need Attention Learning Center,2708 Raleigh Ave,Winston-Salem,27105
34000517,Cozy's Place Day Care Home,4681 Tobacco St,Winston-Salem,27106
34000520,It Takes A Village Development Child Care Home,3711 Sawyer Dr,Winston-Salem,27105
34000538,Omega Wilcox Child Care Home,2868 Hermitage Dr,Winston-Salem,27103
34000540,"Tonya's Tiny Tots, Llc",950 Hazelwood Dr,Winston-Salem,27103
34000542,Cole's Christian Home Day Care,512 W 23rd Street,Winston-Salem,27105
34000549,Teddy Bear Tender Care,4425 Mecum Rd,Walkertown,27051
34000556,T's Creation Christian Home Child Provider,2816 Rosemary Dr,Winston-Salem,27105
34000579,Tiny Feet Christian Day Care,125 Tall Pines Court,Winston-Salem,27107
34000589,Great Thinkers Learning Center,3055 Bainbridge Dr,Winston-Salem,27105
34000607,Hoffman Family Child Care,4190 Clarksburg  Road,Clemmons,27012
34000618,God's Little Blessings Child Care,4091 Morningside Drive,Winston-Salem,27106
34000648,Wanda's Little Wonders,1915 Lodgecrest Lane,Pfafftown,27040
34000673,Little Geniuses Learning Center,3150 Stone Forest Drive,Winston-Salem,27105
34000676,Sweet Dreams Day Care,2500 Reynolds Park Road,Winston-Salem,27107
34000679,Pooh Bear's Honey Pot,5874 Sullivantown Road,Walkertown,27051
34000690,Pequenas Aventuras,815 Utah Drive,Winston-Salem,27107
34000694,Little Ones Heaven,4408 Tise Avenue,Winston-Salem,27105
34000705,Unique Child Care,3811 Whitfield Road,Winston-Salem,27105
34000723,Geez Home Day Care,950 East Clemmonsville Road,Winston-Salem,27107
34000734,S & S Day Care,4795 N Cherry Street,Winston-Salem,27105
34000780,Laurie's Child Care Home,5618 Kerwin Circle,Kernersville,27284
34000792,Pat's Little Angels Home Care,1203 Reynolds Forest Dr,Winston-Salem,27107
34000804,Plater's Playhouse,1433 Bethlehem Lane,Winston-Salem,27105
34000833,Best Of Care Family Child Care Home,116 Sedge Meadow Drive,Winston-Salem,27107
34000863,R­u Happy Child Care,608 Liberia Street,Winston-Salem,27127
